nama_sekolah,alamat,kecamatan,kondisi_lingkungan
SDN Kebon Kosong 05 Pg.,Jl. Kemayoran Gempol Galindra,Kemayoran,Padat/Kumuh
SDN Kebon Kosong 07 Pg.,Jl. Dakota II,Kemayoran,Padat/Kumuh
SDN Kebon Kosong 09 Pg.,Jl. Kemayoran Gempol No. 32,Kemayoran,Padat/Kumuh
SDN Kebon Kosong 10 Pg.,Jl. Kemayoran Gempol No. 32,Kemayoran,Padat/Kumuh
SDN Kebon Kosong 11 Pg.,Jl. Dakota II,Kemayoran,Padat/Kumuh
SDN Kebon Kosong 13 Pg.,Jl. Ketapang Baru II,Kemayoran,Padat/Kumuh
SDN Kebon Kosong 15 Pg.,Jl. Ketapang Baru II,Kemayoran,Padat/Kumuh
SDN Kebon Manggis 03 Pg.,Jl. Slamet Riyadi II No. 7B,Matraman,Padat/Kumuh
SDN Kebon Manggis 08 Pg.,Jl. Kebon Manggis I No. 28,Matraman,Padat/Kumuh
SDN Kebon Melati 01 Pg.,Jl. Sabeni No. 12,Tanah Abang,Padat/Kumuh
SDN Kebon Melati 02 Pg.,Jl. Sabeni No. 12,Tanah Abang,Padat/Kumuh
SDN Kebon Melati 03 Pg.,Jl. Sabeni No. 12,Tanah Abang,Padat/Kumuh
SDN Kebon Pala 09 Pg.,Jl. Permata Gg. Sami,Makasar,Padat/Kumuh
SDN Kedaung Kali Angke 06 Pg.,Jl. Tawang Mangu No. 41,Cengkareng,Padat/Kumuh
SDN Kedaung Kali Angke 14 Pg.,Jl. Zamrud,Cengkareng,Padat/Kumuh
SDN Kedoya Utara 04 Pg.,Jl. Raya Kedoya Utara RT11/RW7,Kebon Jeruk,Padat/Kumuh
SDN Kedoya Utara 09 Pg.,Jl. Kedoya Pesing,Kebon Jeruk,Padat/Kumuh
SDN Kedoya Utara 10 Pg.,Jl. Kedoya Pesing Koneng,Kebon Jeruk,Padat/Kumuh
SDN Kemanggisan 05 Pg.,"Jl. Anggrek Garuda Blok E, Slipi",Palmerah,Padat/Kumuh
SDN Kemanggisan 08 Pg.,Jl. Anggrek Garuda No. 17,Palmerah,Padat/Kumuh
SDN Kemayoran 03 Pg.,Jl. Kepu Dalam Gg. X,Kemayoran,Padat/Kumuh
SDN Kemayoran 07 Pg.,Jl. Kepu Dalam Gg. X,Kemayoran,Padat/Kumuh
SDN Kemayoran 08 Pt.,Jl. Kepu Dalam Gg. X,Kemayoran,Padat/Kumuh
SDN Kemayoran 09 Pg.,Jl. Kemayoran Tengah,Kemayoran,Padat/Kumuh
SDN Kemayoran 11 Pg.,Jl. Kemayoran Tengah,Kemayoran,Padat/Kumuh
SDN Kemayoran 12 Pt.,Jl. Kemayoran Tengah,Kemayoran,Padat/Kumuh
SDN Kemayoran 13 Pg.,Jl. Kemayoran Tengah,Kemayoran,Padat/Kumuh
SDN Kemayoran 14 Pt.,Jl. Kemayoran Tengah,Kemayoran,Padat/Kumuh
SDN Kemayoran 15 Pg.,Jl. Kepu Dalam Gg. X,Kemayoran,Padat/Kumuh
SDN Kemayoran 16 Pt.,Jl. Kepu Dalam Gg. X,Kemayoran,Padat/Kumuh
SDN Kemayoran 17 Pg.,Jl. Kepu Dalam Gg. X,Kemayoran,Padat/Kumuh
SDN Kembangan Utara 08 Pt.,Jl. Kampung Baru,Kembangan,Padat/Kumuh
SDN Kembangan Utara 09 Pg.,Jl. Basmol Raya,Kembangan,Padat/Kumuh
SDN Kembangan Utara 10 Pg.,Jl. Kp. Basmol Kembangan,Kembangan,Padat/Kumuh
SDN Kembangan Utara 11 Pt.,Jl. Kp. Basmol RT009/RW06,Kembangan,Padat/Kumuh
SDN Kembangan Utara 12 Pt.,Jl. Kp. Basmol RT009/RW06,Kembangan,Padat/Kumuh
SDN Kenari 06 Pt.,Jl. Kramat IV No. 25,S e n e n,Padat/Kumuh
SDN Klender 01 Pg.,Jl. Pertanian,Duren Sawit,Padat/Kumuh
SDN Klender 02 Pt.,Jl. Pertanian,Duren Sawit,Padat/Kumuh
SDN Klender 06 Pg.,Jl. Pertanian Timur,Duren Sawit,Padat/Kumuh
SDN Klender 07 Pg.,Jl. Pertanian Timur,Duren Sawit,Padat/Kumuh
SDN Klender 12 Pg.,Jl. Pertanian Utara RT004/RW01,Duren Sawit,Padat/Kumuh
SDN Klender 24 Pg.,Jl. Pertanian,Duren Sawit,Padat/Kumuh
SDN Kota Bambu 02 Pt.,Komp. PJKA Pondok Bandung,Palmerah,Padat/Kumuh
SDN Kota Bambu 03 Pg.,Jl. K.S. Tubun I No. 14,Palmerah,Padat/Kumuh
SDN Kota Bambu 04 Pt.,Jl. K.S. Tubun I No. 14,Palmerah,Padat/Kumuh
SDN Kota Bambu 05 Pg.,Jl. K.S. Tubun I No. 14,Palmerah,Padat/Kumuh
SDN Kramat 01 Pg.,Jl. Kalibaru No. 34,S e n e n,Padat/Kumuh
SDN Kramat 02 Pt.,Jl. Kalibaru No. 34,S e n e n,Padat/Kumuh
SDN Kramat 03 Pg.,Jl. Kalibaru No. 34,S e n e n,Padat/Kumuh
SDN Kramat 04 Pt.,Jl. Kalibaru No. 34,S e n e n,Padat/Kumuh
SDN Kramat Jati 02 Pg.,Jl. Batu Tumbuh,Kramat Jati,Padat/Kumuh
SDN Kramat Jati 03 Pg.,Jl. Masjid Al Ihsan,Kramat Jati,Padat/Kumuh
