nama_sekolah,alamat,akreditasi
SDN Grogol 11 Pg.,Jl. Rawa Bahagia I No. 30,A
SDN Grogol Selatan 01 Pg.,Jl. Raya Kebayoran Lama,A
SDN Grogol Selatan 03 Pg.,Jl. Raya Kebayoran Lama,A
SDN Grogol Selatan 05 Pg.,Jl. Kubur Islam,A
SDN Grogol Selatan 07 Pg.,Jl. Kubur Islam,A
SDN Grogol Selatan 08 Pg.,Jl. Mesjid An Nur III,A
SDN Grogol Selatan 09 Pg.,"Jl. Panjang No. 99B, Cidodol",A
SDN Grogol Selatan 12 Pt.,Jl. Mesjid An Nur,A
SDN Grogol Selatan 13 Pg.,Jl. Komp. Hamkan Cidodol,A
SDN Grogol Selatan 14 Pg.,Jl. Komp. Hamkan Cidodol,A
SDN Grogol Selatan 15 Pt.,"Jl. Panjang, Cidodol",A
SDN Grogol Selatan 17 Pg.,Jl. Mesjid Cidodol,A
SDN Grogol Selatan 18 Pg.,Jl. Masjid Cidodol,A
SDN Grogol Utara 01 Pg.,Jl. Patal Senayan No. 49,A
SDN Grogol Utara 03 Pg.,Jl. Kby. Lama Pos Pengumben,A
SDN Grogol Utara 12 Pg.,"Jl. Raya Kebayoran Lama, Pos Pengumben",A
SDN Grogol Utara 13 Pg.,Jl. Kemandoran VIII,A
SDN Grogol Utara 16 Pg.,Jl. Kemandoran I No. 65,A
SDN Grogol Utara 17 Pg.,Jl. Kemandoran I No. 65,A
SDN Guntur 03 Pg.,Jl. Halimun No. 2B,A
SDN Gunung 01 Pg.,Jl. Bumi No. 19,A
SDN Gunung 02 Pt.,Jl. Bumi No. 19,A
SDN Gunung 03 Pg.,Jl. Bumi No. 19 Blok E,A
SDN Gunung 04 Pt.,Jl. Bumi No. 19 Blok E,A
SDN Gunung 05 Pg.,Jl. Hang Lekir V No. 53,A
SDN Gunung Sahari Selatan 01 Pg.,Jl. Gunung Sahari IV No. 14,A
SDN Gunung Sahari Utara 01 Pagi.,"Jl. Rajawali Selatan V No. 3, Gunung Sahari Utara",A
SDN Harapan Mulia 01 Pg.,Jl. Cempaka Wangi I,A
SDN Jagakarsa 01 Pg.,Jl. Jagakarsa I No. 5,A
SDN Jagakarsa 02 Pg.,Jl. Sirsak RT008/RW07,A
SDN Jagakarsa 03 Pg.,Jl. Jagakarsa I,A
SDN Jagakarsa 05 Pg.,Jl. Sirsak,A
SDN Jagakarsa 06 Pg.,Jl. Kedondong,A
SDN Jagakarsa 08 Pg.,Jl. Sirsak Gg. Anggrek No. 14,A
SDN Jagakarsa 09 Pg.,Jl. R. M. Moh. Khahfi I,A
SDN Jagakarsa 10 Pg.,Jl. R.M Kahfi I Gg. SD,A
SDN Jagakarsa 11 Pg.,Jl. Kelapa Tiga,A
SDN Jati 01 Pg.,Jl. Kakap Raya No. 36,A
SDN Jati 03 Pg.,Jl. Taman Pulo Asem Utara,A
SDN Jati 05 Pg.,Jl. Perhubungan Raya XII,A
SDN Jati 11 Pg.,Jl. Perhubungan Raya,A
SDN Jati Padang 01 Pg.,Jl. Bacang,A
SDN Jati Padang 04 Pt.,Jl. Bacang,A
SDN Jati Padang 05 Pg.,Jl. Raya Ragunan No. 40,A
SDN Jati Padang 06 Pg.,Jl. Raya Ragunan No. 40,A
SDN Jati Pulo 03 Pg.,Jl. Semangka II No. 34,A
SDN Jati Pulo 08 Pg.,Jl. Seroja No. 16,A
SDN Jatinegara 01 Pg.,Jl. Swadaya IV Kp. Pulo Jahe,A
SDN Jatinegara 02 Pg.,Jl. Swadaya IV,A
SDN Jatinegara 03 Pg.,Jl. Raya Bekasi Km. 17,A
